OriginalStatements,ExplainedStatements
"Serious photographers variously claim to be finding, recording, impartially observing, witnessing events, exploring themselves-anything but making works of art.","Photographers who really love what they do say that taking pictures is more than just snapping photos; it's about really getting to know the world. They take pictures of what's around them very thoughtfully, trying to show things as they really are, and focusing on small things that others might not notice. By doing this, they help us remember important events. These photographers also think about their own feelings and reasons for taking pictures, which influences how they take photos. They believe their work shows the true way things are, not just as pretty art. Their promise to show the truth gives their way of telling stories with pictures a special and real point of view. Their photo collections are more than just pictures—they show real life and feelings, as seen through their committed work."
"This method of pumping heat from one place to another served mankind well when refrigerators' main jobs were preserving food and, as air conditioners, cooling buildings.","The really good method of moving heat around has been a big help to people, especially for keeping food fresh longer, reducing spoiled food, and making us healthier. Air cooling systems have also gotten better because of this, making inside areas nice and cool, which helps people work better in hot places. These improvements are now very important for the way we live today, helping lots of different jobs and making our daily lives more comfortable."
"They are based on a robust and effective idea--draw heat from the thing you want to cool by evaporating a liquid next to it, and then dump that heat by pumping the vapour elsewhere and condensing it.","Cooling systems work on a smart and helpful rule. They make something cold by turning a special liquid into a gas fast, which takes away warmth. The gas, with the warmth, is then pushed and turned back into a liquid in a different place. This turning into gas and back into liquid keeps the cold going strong, which is very important for making food stay good and controlling how warm or cold buildings are."
One set of candidates are known as paraelectric materials.,"Paraelectric materials can change their electric charge alignment back and forth without needing an outside electric force. They have a strong ability to store electric energy, and this ability varies with heat, which is good for adjustable energy storage devices and detecting devices. If you put an outside electric force on them, they can change into ferroelectric materials, which means they can be used in more electronic devices. Also, they can bend light in special ways that are not straight, which is great for use in high-tech light-based communication tools. So, working on and making better paraelectric materials is a hopeful area for tech advancements."
"An array of tiny pieces of paraelectric material can sense the heat radiated by, for example, a person, and the pattern of the array's electrical outputs can then be used to construct an image.","A tiny, easily affected group of special materials can sense very weak warmth from a person and make a complex electric signal pattern. People who know a lot about this study the pattern to make a clear heat picture. This tool is very useful for safety, checking health, and watching over nature because it can notice very small changes in how hot or cold something is. This helps to find sickness early and to locate people in saving missions. The information it gives right away can make the systems we use now work better and be more dependable."
"One consequence of Moore's Law, which describes the doubling of the number of transistors on a chip every 18 months, is that the amount of heat produced doubles as well.","Moore's Law says that every one and a half years, the tiny parts (transistors) on a computer brain (chip) will double. This means the computer brain gets hotter faster. Engineers have to come up with ways to cool it down that don't make it work less well or cost too much. As we make these computer brains tinier, figuring out how to keep them cool is super important. If we want our future gadgets to work well and last long, we need to solve this heating problem."
"And the idea of shifting from single-core processors to systems that divided processing power between first two, and then four, subunits, in order to spread the thermal load, also seems to have the end of the road in sight.","Moving from computers with one brain to ones with many brains was first done to handle heat better, but now we're almost at the point where we can't make it better. This makes people look for other ways to make computers faster and better at doing their jobs. Now, we have ways to make computers do many things at once, which makes them work faster and better. As computers get smarter and learn on their own, we need even more powerful computer brains, like GPUs and TPUs, made just for really hard jobs. What computers will be able to do in the future will rely on how strong their brains are and how cleverly we build them and the programs they use."
"The trick to a good thermoelectric material is a crystal structure in which electrons can flow freely, but the path of phonons--heat-carrying vibrations that are larger than electrons--is constantly interrupted. In practice, this trick is hard to pull off, and thermoelectric materials are thus less efficient than paraelectric ones (or, at least, than those examined by Dr Mischenko).","Making a really good heat-to-electricity material means building a solid shape that lets tiny bits of matter called electrons go wherever they want easily, while at the same time messing up the way bigger heat bits, called phonons, move around. It's hard to get this just right, which is why these heat-to-electricity materials aren't as good as another kind called paraelectric materials, which a smart person named Dr. Mischenko is looking into. People who study and try to figure things out are trying really hard to get past these tough problems and make the most out of these heat-to-electricity materials."
"Shy of competition, eager for artificially high prices, they are helping to block the efficient generation, transmission and distribution of energy on the continent.","They are shy about tough rivalry but eager for high costs, so they're not only benefiting from what's happening but also stopping better energy movement in Europe. This stops a better energy trade from happening, maybe making prices higher for everyone and delaying the change to eco-friendly energy."
"Companies that dominate national markets have, so far, had little interest in improving the interconnections which would mean lower prices for consumers across the continent.","These powerful companies don't really care about making the links between systems better, which has made things expensive for people who buy stuff. If these links were better, it could lead to more companies trying to be the best by lowering prices everywhere in the big land area made up of many countries. It's a big deal for everyone involved to understand how these changes could be good for both shoppers and the market as a whole in the long run."
"The European Commission, which on the same day presented its recommendation for improving EU energy policy, also wants to see the unbundling of ownership, the legal separation of energy suppliers and transporters, something that the integrated energy companies and interested governments, notably in France and Germany, are bound to oppose ferociously.","On a very important day, the European Union's rule-making group suggested a well-explained idea to make the EU's energy rules better. They stressed that energy sellers and the companies that move energy should be completely separate. This new idea might not be liked by big energy businesses and some countries, like France and Germany. The rule-making group really wants to change the energy market, and this could lead to a big disagreement. It shows how hard it is to get every country to agree with the EU's big goals."
The risk is that concerns about security of supply may be used spuriously by those in Europe who oppose the sort of liberalisation encouraged by Ms Kroes.,"Some people in Europe might say they're worried about not having steady energy as a reason to fight against the common practice of making the market more open, which Ms. Kroes wants. They might want to make rules that favor their own country, saying it's for the country's good, but these rules could actually hurt the chance for new ideas and fair business fights, which are important for Ms. Kroes's plan to make a lively, free market. It's key to balance having a dependable energy source with encouraging the kind of openness that can make the economy better and give shoppers advantages like more choices and cheaper prices."
"Protection has been tried for long enough and evidently has not worked for the internal market, nor have these companies secured the best deals for consumers from the Russians.","Despite trying very hard and carefully to keep the market safe for a long time, it didn't work to protect the market's own interests. This way of doing things also had the opposite effect, stopping businesses from getting the best offers for buyers when dealing with Russian companies. Because of this, people are starting to think differently about welcoming a market that is more open and where everyone tries to be the best, which could be good for everyone who is part of it."
"All that is laudable enough, but will also require political horse-trading as governments Europe's leaders are due to meet in March to discuss the various energy proposals try to avoid commitments that may hurt domestic energy companies or make European firms less competitive than rivals in America, Asia and elsewhere.","Europe's bosses are getting ready for a tough job in March. They have to find their way through tricky energy plans and talks without hurting local energy businesses. They also have to make sure European businesses can keep up with powerful rivals from America, Asia, and other places. The big meeting is very important because it needs a thoughtful mix of caring for the environment and looking after money matters."
"Achieving either target would mean promoting cleaner cars, a more effective emissions-trading system for Europe, wider use of public transport and a sharp increase in the use of renewable sources of energy, like wind and solar power.","We need to put first things first and push for the use of vehicles that don't pollute as much. Also, Europe has to make its system for swapping pollution permits better. It's important to get more people to use buses and trains to reduce the number of cars being used. Plus, we should really depend more on energy that comes back, like from the sun and wind. If we do all these things, we can work against the warming of our planet and make sure we can keep living well without running out of resources."
"If successful, virus therapy could eventually form a third pillar alongside radiotherapy and chemotherapy in the standard arsenal against cancer, while avoiding some of the debilitating side-effects.","New, creative treatments using viruses might change cancer care in a big way, offering a third choice next to radiation and drug treatments. This fresh way of fighting cancer could skip the harsh bad reactions that old-style treatments usually bring. It offers hope for a more focused way to fight cancer that could make treatments work better and make patients feel better. If we mix this virus treatment with the ones we already have, it could transform the study and treatment of cancer by giving patients care that's more tailored to them and doesn't involve surgery."
Cancer-killing viruses exploit the fact that cancer cells suppress the body's local immune system.,"Viruses that fight cancer, called oncolytic viruses, are smartly made to go after cancer cells, which often make the nearby immune defenses less strong. These viruses can get into cancer cells and break them down while leaving normal cells alone, so they don't hurt healthy parts of the body much. Also, they can start an immune attack on the cancer, making their healing effect better. This approach of both hitting cancer cells straight on and also boosting the immune system in a roundabout way highlights the advanced promise of using viruses to treat cancer."
"Prof Seymour's innovative solution is to mask the virus from the body's immune system, effectively allowing the viruses to do what chemotherapy drugs do - spread through the blood and reach tumours wherever they are.","Professor Seymour made a new, game-changing treatment that smartly hides the virus from the body's defense system, similar to how strong cancer-fighting medicines work. The virus can then travel hidden in the blood and hit cancer cells wherever they may be. This new way aims at harmful growths really well and might save the patient's good body parts from harm."
"After the stealth virus infects the tumour, it replicates, but the copies do not have the chemical modifications.","When a sneaky virus made to attack cancer gets into a lump of abnormal cells, it grows in number fast. However, the new viruses it makes don't have the same special stuff that the first virus did. This makes experts curious about whether the virus will continue to be effective in the long run. To figure this out, people who study and experiment are looking into how the virus changes when it grows. They aim to ensure it stays good at fighting cancer, turning it into a stronger tool to combat the illness."
"Two viruses are likely to be examined in the first clinical trials: adenovirus, which normally causes a cold-like illness, and vaccinia, which causes cowpox and is also used in the vaccine against smallpox.","Scientists are getting ready to closely examine two viruses in future medical tests. They want to look into the ordinary adenovirus, which often gives people mild cold signs, to learn more about it and maybe use it to give vaccines. Also, they will study the vaccinia virus, which is linked to cowpox and was important in making the smallpox shot that worked well. This study is trying to learn more about both not-so-serious and very important viruses from the past, which could lead to new ways to treat and prevent spreading sicknesses."
"For years European economies had been lagging dismally behind America (to say nothing of Asia), but in 2006 the large continental economies had one of their best years for a decade, briefly outstripping America in terms of growth.","For many years, Europe's big economies weren't doing as well as the powerful economy of America or the quickly expanding economies in Asia. But in 2006, something big changed for Europe, and they had their best year in ten years. This quick and impressive change for the better even did better than the growth in the United States for a short time, causing a lot of hope and happiness all over Europe. The people who make rules and the people who put money into businesses began to think that Europe might keep doing well and, after a while, do even better than other economies around the world."
"Every four or five years, European countries take a large stride towards further integration by signing a new treaty: the Maastricht treaty in 1992, the Treaty of Amsterdam in 1997, the Treaty of Nice in 2001.","About every four to five years, countries in Europe take a big step to work more closely together by agreeing on a new agreement. For instance, in 1992, the Maastricht Agreement was a big deal because it created the European Union and started using the euro as money. Then, in 1997, the Amsterdam Agreement made the EU's organizations more powerful and made things work more easily. Next, the Nice Agreement in 2001 got the EU ready to let new countries from the east join. These agreements demonstrate Europe's continuous work to come together and expand."
"And in 2005 they were supposed to ratify a European constitution, laying the ground for yet more integration until the calm rhythm was rudely shattered by French and Dutch voters.","In 2005, the European Union was close to accepting a big set of rules that would make the countries work more closely together, creating stronger togetherness. But this forward movement stopped quickly when people from France and the Netherlands voted no to the rules in a surprising turn of events. This no vote was like a big wave of surprise across Europe and made the bosses think again about how to bring the countries together, considering the different thoughts of the people living there."
"Government leaders have already agreed to celebrate it ceremoniously, restating their commitment to 'ever closer union' and the basic ideals of European unity.","All the government bosses agreed together to have a big party, making their promise to work closely together even stronger. They want to show how much they care about sticking together as Europe. This party is a sign of everyone supporting each other and helps everyone remember that they are all walking the same road towards a future where they are joined together."
But it does not take a Machiavelli to spot that once governments have signed the declaration (and it seems unlikely anyone would be so uncollegiate as to veto it) they will already be halfway towards committing themselves to a new treaty.,"Signing the declaration is more than just for show; it's an important action that shows a promise based on what's right, even if it's not yet required by law. When nations put their signature on the paper, they're not just showing they're together—they're getting ready for future duties. Putting your name on the declaration suggests that each country knows they're expected to stick to the upcoming deal, setting a rule that would be tough to get out of without causing problems between countries. At its core, the simple act of signing is a quiet yet powerful move that nudges the whole world closer to a deal that will be difficult to reverse once it starts."
"Neoclassical economics is built on the assumption that humans are rational beings who have a clear idea of their best interests and strive to extract maximum benefit (or 'utility', in economist-speak) from any situation.","People don't always make smart choices because their thinking can be off and their feelings can get in the way, which is different from what old-school economic theories would expect. Herbert Simon said that people just try to find a good enough answer, not the perfect one, because their brains can only handle so much, and there are always things getting in the way. What people do with their money can be shaped a lot by what's normal in their society and what they've grown up with, which might not make sense to old-fashioned economics but does make sense when you look at it differently. These new ideas have led to new ways of thinking about economics that include how people think and feel. By realizing that old ways of thinking about economics don't cover everything, there's a move towards a deeper way of looking at economics that takes into account all the different things that can change how people make choices, leading to a bigger picture that fits better with how people actually are."
"According to the German government which holds the EU's agenda-setting presidency during the first half of 2007, there will be a new draft of a slimmed-down constitution ready by the middle of the year, perhaps to put to voters, perhaps not.","In the early part of 2007, Germany is in charge of the European Union and is making a shorter, clearer version of the EU's main rules. They want to finish it by the middle of the year and maybe people will vote on it, but that's not sure yet. Germany is really focused on making the EU's important papers better to help the EU work better and be more fair in how it makes decisions. But this job is made tough because the EU is complex and each country in it wants different things, so no one knows how it will turn out."
"Then, according to bureaucratic planners in Brussels and Berlin, blithely ignoring the possibility of public rejection, the whole thing will be signed, sealed and a new constitution delivered in 2009-10.","The careful organizers in Brussels and Berlin believe the detailed deal will be agreed upon and finalized soon, resulting in a new set of rules by 2009-10. But they might be too hopeful, because big political plans often run into sudden hold-ups and problems, and they could be guessing too low about the possibility of people strongly disagreeing."
"UK and Australian health agencies have released information about 240 cases of odd occurrences, including sleepwalking, amnesia and hallucinations among people taking the drug zolpidem.","After worrying news about the sleep medicine zolpidem, health groups in the UK and Australia are looking into it carefully and talking to medical workers about telling people about the risks of this medicine. They have told doctors to think hard before giving zolpidem to people, especially if they have had mental health problems or misused drugs before. Information from patients who have had side effects is being collected to learn more about what the medicine does. The health groups might make the rules for using zolpidem stricter, make sure doctors are more careful about who they give it to, check patients better before giving it to them, and watch more closely over how it's used. They want to make sure the good things about zolpidem are more important than the bad things, and they promise to keep telling people about what they find out."
"While doctors say that zolpidem can offer much-needed relief for people with sleep disorders, they caution that these newly reported cases should prompt a closer look at its possible side effects.","Doctors know that zolpidem can really help people who have a hard time sleeping, but they also tell people to be careful because it can have bad side effects. They're trying to figure out the best way to give it to patients. It can make a big difference for people who always have trouble sleeping, but doctors have to be very careful, check on patients a lot, and think hard about whether to give it to them. They suggest using zolpidem in a smart way, making sure the patient is safe first, and maybe even doing more checks and studies on how it works over a long time."
"The newly reported cases in the UK and Australia add to a growing list of bizarre sleepwalking episodes linked to the drug in other countries, including reports of people sleep-driving while on the medication.","People in the UK and Australia have been walking in their sleep and doing risky things, like driving while asleep, because of a medicine. This shows that we need to know more about the dangers and maybe make stricter laws about doctors giving out and people taking powerful calming drugs."
The drug is a benzodiazepine-like hypnotic that promotes deep sleep by interacting with brain receptors for a chemical called gamma-aminobutyric acid.,"This strong medicine, like some calming drugs, aims to cause deep, healing sleep by focusing on special spots in the brain that are important for the work of GABA, a substance that slows down brain activity. By boosting GABA's soothing power, the medicine assists people with sleep problems to get a better and more peaceful sleep, making their sleep habits better and their total sleep better."
"The product information for prescribers advises that psychiatric adverse effects, including hallucinations, sleepwalking and nightmares, are more likely in the elderly, and treatment should be stopped if they occur.","Doctors who give out medicine are told to be careful because older people might have more mental health problems like seeing things that aren't there, walking in their sleep, and bad dreams when they take some medicines. If these signs show up, it's very important to stop the medicine right away. Doctors should keep a close eye on their older patients for these problems and do something fast if they see them. It's key for doctors to talk clearly and honestly with patients and their families to deal with any problems fast and stop any hurt."
Patient advocacy groups say they would like government health agencies and drug companies to take a closer look at the possible risks associated with sleep medicines.,"Groups that support patients are pushing for more attention to the dangers of sleep drugs from government health offices and the companies that make these drugs. They emphasize the importance of sharing clear results from medical tests to help people make smart choices about their health. These groups think that more careful supervision could lead to treatments that work better and are safer, which would be better for everyone's health. They are calling for health rule-makers, companies that create drugs, and medical workers to put the well-being of patients first."
"Millions of people have taken the drug without experiencing any strange side effects, points out Richard Millman at Brown Medical School, director of the Sleep Disorders Center of Lifespan Hospitals in Providence, Rhode Island, US.","Lots of people have used this medicine and haven't had any odd or troubling reactions. Dr. Richard Millman, a well-known teacher at Brown Medical School and the boss of the Sleep Problems Clinic at Lifespan Hospitals in Providence, Rhode Island, says it's safe. He's well-trusted and knows a lot about medicine, which makes us believe more when he says the medicine won't harm people."
"The Guardian has learned that the FSA will launch a series of 10-second television adverts in January telling shoppers how to follow a red, amber and green traffic light labelling system on the front of food packs, which is designed to tackle Britain's obesity epidemic.","The news source, the Guardian, has shown that the food rules group, the FSA, plans to deal with health issues in advance by starting a new project in January. They will begin showing short, 10-second TV commercials to guide people who buy things to pick better food options. These commercials will make it simple to understand the color-coded system of red, yellow, and green signals on food wrappers, which helps people quickly judge if food is good for them. This project is a focused attempt by the FSA to solve the increasing overweight issue in Britain."
"The industry is planning a major marketing campaign for a competing labelling system which avoids colour-coding in favour of information about the percentage of ""guideline daily amounts"" (GDAs) of fat, salt and sugar contained in their products.","The industry is making a new way to show information on food packages with a lot of attention. They are starting a special plan to show how much fat, salt, and sugar is in food every day without using the common color codes. They want to give people easy-to-understand facts to help them pick better foods, which might lead to better eating routines. The goal is to make their food stand out and attract people who like to know a lot about what they eat."
"Sources at the TV regulators are braced for a legal challenge from the industry and have described the lobbying efforts to block any new ad ban or colour-coded labelling as ""the most ferocious we've ever experienced"".","TV rule-makers, who know the industry doesn't like being told what to do, think there will be a big court battle over new limits on ads. They've seen a lot of pressure to stop complete ad stoppages and firm naming of products, making people who want stronger ad laws anxious. The fight between keeping people healthy and letting businesses do what they want is getting more heated, leading to what will probably be a long court fight."
"The FSA is understood to have briefed its ad agency, United, before Christmas, and will aim to air ads that are ""non-confrontational, humorous and factual"" as a counterweight to industry's efforts about the same time.","The FSA told its advertising company, United, about their plans early, before Christmas comes. They got ready so United could make ads that don't start fights, are a little bit funny, and only have true facts. They did this to show what the FSA stands for and to stand out from other companies that are very pushy with their ads when it's time for celebrations. The FSA wants to make sure that among all the mess of ads during the holidays, people really hear and remember their ads."
"Ehrlich's model shows that whilst most of these oscillations cancel each other out, some reinforce one another and become long-lived temperature variations.","Ehrlich's simple explanation of weather patterns shows that even though many of the different flows in the weather balance each other, some join forces and make certain changes more noticeable. When these effects merge, they can cause big and long-term shifts in how hot or cold it gets. This tells us that we need to understand how the parts of the weather work as a team, not just by themselves."
"For example, if sea ice begins to form because of a slight cooling, carbon dioxide that would otherwise have found its way into the atmosphere as part of the carbon cycle is locked into the ice.","When a small drop in temperature causes a lot of sea ice to form, it can capture carbon dioxide that is usually part of the Earth's natural carbon recycling. This might help lessen the warming of the Earth by reducing the trapping of heat. But, this can also be bad for sea life by stopping the normal air and water mixing, which can impact creatures that need carbon dioxide to make their food with sunlight. Also, the ice's ability to bounce back sunlight, called albedo, could make the area even colder, adding to the original drop in temperature. This capturing of carbon dioxide in sea ice can have many different results, which we need to think about when looking at the whole Earth's weather patterns."
"One such cycle describes the way Earth's orbit gradually changes shape from a circle to a slight ellipse and back again roughly every 100,000 years.","Every 100,000 years, the path Earth takes around the Sun changes a bit, which really changes our weather over time. When the path goes from more round to a bit more oval, the Sun's heat reaching Earth isn't always the same, which can cause big weather changes, like ice ages. The pull from big planets like Jupiter and Saturn makes these changes even more complicated. Knowing about these patterns is super important for experts to figure out what the weather was like a long time ago and what it might be like later on."
"However, Edwards believes the small changes in solar heating produced by Milankovitch cycles are then amplified by feedback mechanisms on Earth.","Edwards believes that even tiny changes in the sun's warmth, due to cycles named after Milankovitch, can make the Earth's weather react a lot. He thinks that these small changes can become much bigger because of the way the Earth's weather system works, causing big changes in the weather over time. This means that a little change in the sun's energy can start a chain of events in nature, changing things like ice, plants, and the gases that make the Earth warm. Knowing about these cycles is very important to understand the weather in the past and to guess what the weather will be like in the future. It shows us that even small things from outside can have a big effect on the weather of our world."
